"Category","GroupName","GroupType","Members","Description","DetectedUtc"
"OwnerlessGroup","RBAC-IT-Staff","Dynamic","4","Dynamic. Information Technology department. Infrastructure administration.","2026-08-09T00:04:47Z"
"OwnerlessGroup","RBAC-RevCycle-Staff","Dynamic","8","Dynamic. Revenue Cycle department. Baseline billing system access.","2026-08-09T00:04:47Z"
"OwnerlessGroup","RBAC-Site-Marietta","Dynamic","10","Dynamic. Marietta campus staff. Location-scoped policy targeting.","2026-08-09T00:04:48Z"
"OwnerlessGroup","ENT-Record-Amendment","Assigned","1","Assigned. Amend clinical records after signature.","2026-08-09T00:04:48Z"
"OwnerlessGroup","ENT-Claims-Submission","Assigned","2","Assigned. Submit claims to third-party payers.","2026-08-09T00:04:48Z"
"OwnerlessGroup","ENT-Payment-Posting","Assigned","2","Assigned. Post payments, adjustments, and write-offs.","2026-08-09T00:04:48Z"
"OwnerlessGroup","RBAC-Clinical-Prescribers","Dynamic","5","Dynamic. Licensed prescribers only. Medication ordering rights.","2026-08-09T00:04:48Z"
"OwnerlessGroup","ENT-PHI-Full-Access","Assigned","2","Assigned. Unrestricted PHI access. Break-glass tier.","2026-08-09T00:04:49Z"
"OwnerlessGroup","RBAC-Clinical-Staff","Dynamic","9","Dynamic. All Clinical department staff. Baseline EHR read access.","2026-08-09T00:04:49Z"
"OwnerlessGroup","RBAC-Contractors-All","Dynamic","3","Dynamic. All non-employee workers. Conditional Access targeting.","2026-08-09T00:04:49Z"
"OwnerlessGroup","ENT-Charge-Entry","Assigned","2","Assigned. Create patient charges in the billing system.","2026-08-09T00:04:50Z"
"OwnerlessGroup","ENT-Medical-Coding","Assigned","3","Assigned. Assign diagnosis and procedure codes.","2026-08-09T00:04:50Z"
"OwnerlessGroup","RBAC-HIM-Staff","Dynamic","6","Dynamic. Health Information Management. Chart and record access.","2026-08-09T00:04:50Z"
